occurrence	severity	id	file	line	column	message
47	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	15	9	A newer version of com.github.bumptech.glide:compiler than 5.0.5 is available: 5.0.9
48	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	15	9	A newer version of com.github.bumptech.glide:glide than 5.0.5 is available: 5.0.9
49	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	15	9	A newer version of com.github.bumptech.glide:ksp than 5.0.5 is available: 5.0.9
50	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	15	9	A newer version of com.github.bumptech.glide:okhttp3-integration than 5.0.5 is available: 5.0.9
51	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	15	9	A newer version of com.github.bumptech.glide:recyclerview-integration than 5.0.5 is available: 5.0.9
52	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	16	8	A newer version of com.google.code.gson:gson than 2.13.2 is available: 2.14.0
53	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	17	12	A newer version of com.jayway.jsonpath:json-path than 2.10.0 is available: 3.0.0
54	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	18	14	A newer version of cn.wanghaomiao:JsoupXpath than 2.5.3 is available: 2.5.5
55	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	19	14	A newer version of org.jetbrains.kotlinx:kotlinx-coroutines-android than 1.10.2 is available: 1.11.0
56	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	19	14	A newer version of org.jetbrains.kotlinx:kotlinx-coroutines-core than 1.10.2 is available: 1.11.0
57	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	25	10	A newer version of com.squareup.okhttp3:okhttp than 5.3.2 is available: 5.5.0
58	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	36	13	A newer version of com.github.jenly1314:zxing-lite than 3.3.0 is available: 3.5.0
59	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	56	9	A newer version of org.mozilla:rhino than 1.8.1 is available: 1.9.1
60	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	137	75	A newer version of com.github.bumptech.glide:compose than 1.0.0-beta01 is available: 1.0.0-beta10
61	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	210	55	A newer version of de.undercouch.download than 5.6.0 is available: 5.7.0
62	Warning	DiscouragedApi	/Users/back/legado/app/src/main/AndroidManifest.xml	205	13	Fixed screen orientations will be ignored in most cases, starting from Android 16. Android is moving toward a model where apps are expected to adapt to various orientations, display sizes, and aspect ratios.
63	Warning	DiscouragedApi	/Users/back/legado/app/src/main/AndroidManifest.xml	210	13	Fixed screen orientations will be ignored in most cases, starting from Android 16. Android is moving toward a model where apps are expected to adapt to various orientations, display sizes, and aspect ratios.
64	Warning	DiscouragedApi	/Users/back/legado/app/src/main/AndroidManifest.xml	215	13	Fixed screen orientations will be ignored in most cases, starting from Android 16. Android is moving toward a model where apps are expected to adapt to various orientations, display sizes, and aspect ratios.
65	Warning	DiscouragedApi	/Users/back/legado/app/src/main/AndroidManifest.xml	220	13	Fixed screen orientations will be ignored in most cases, starting from Android 16. Android is moving toward a model where apps are expected to adapt to various orientations, display sizes, and aspect ratios.
66	Warning	DiscouragedApi	/Users/back/legado/app/src/main/AndroidManifest.xml	225	13	Fixed screen orientations will be ignored in most cases, starting from Android 16. Android is moving toward a model where apps are expected to adapt to various orientations, display sizes, and aspect ratios.
67	Warning	DiscouragedApi	/Users/back/legado/app/src/main/AndroidManifest.xml	230	13	Fixed screen orientations will be ignored in most cases, starting from Android 16. Android is moving toward a model where apps are expected to adapt to various orientations, display sizes, and aspect ratios.
68	Warning	DiscouragedApi	/Users/back/legado/app/src/main/AndroidManifest.xml	235	13	Fixed screen orientations will be ignored in most cases, starting from Android 16. Android is moving toward a model where apps are expected to adapt to various orientations, display sizes, and aspect ratios.
